req_id,subsystem,summary,present_in_8.5,present_in_8.6,present_in_8.7,v6.20_implementation,notes
R-§1-1,system_response,"BDC level recorded fore and aft per cylinder, every revolution",Y,Y,Y,"adc.c IntADCIsr (line 254): per-revolution ADC sampling; sensor[28] in globals.c","28 channels = 14 cylinders × 2 (fore+aft); v6.20 supports dual-SPU (14 + 14)"
R-§1-2,system_response,"Repeatability +/- 0.01 mm",Y,Y,Y,"define.h: ADC scaling; ~12-bit ADC at 0-20mA input","Hardware-determined; not algorithmically enforced"
R-§1-3,system_response,"Disregard signals within torsional vibration barred speed range",Y,Y,Y,"man.c uses barredspeedband config; see settings.barredspeedstart/.barredspeedend","Configurable; verified in MANModules() main loop"
R-§2.0-1,speedcomp,"Speed compensation by lookup table; ≥100 sub-ranges between 20%–110% of nominal",Y,Y,Y,"man.c:50 man_comptable[150][28] (150 rows × 28 ch)","v6.20 uses 150 — exceeds spec minimum"
R-§2.0-2,speedcomp,"Range below 20% nominal disregarded",Y,Y,Y,"man.c various: rpm checks against (settings.nominalspeed * 0.2)","Confirmed in MANModules"
R-§2.0-3,speedcomp,"Astern running disregarded",Y,Y,Y,"alarms.c FORWARD/ASTERN direction state machine","Direction in engine struct"
R-§2.1-1,speedcomp,"Rough cal: 3 fixed speeds, 10 minutes at each, in ranges 20-50% / 50-80% / 80-100%",Y,Y,Y,"mancal.c STAGE1/STAGE2/STAGE3 calibration state machine","Three-stage cal directly maps to spec"
R-§2.1-2,speedcomp,"Fixed speed defined as engine speed ± 2% nominal",N,Y,Y,"mancal.c uses ±2 RPM (8.5 spec, fixed)","Δ8.5→8.6: spec changed from ±2 RPM to ±2% of nominal. v6.20 still uses ±2 RPM (8.5 behavior)"
R-§2.1-3,speedcomp,"Slope between 20% and 110% engine speed used for first rough curve",Y,Y,Y,"mancal.c GenerateCalCoeffs uses engine type slope (define.h: counts_per_engine_type)",""
R-§2.1-4,speedcomp,"Discard sample if change in speed from one sample to next > 5% nominal (running unsteadily)",N,Y,Y,"NOT FOUND in v6.20",N — Phase 4 task to add. v6.20's stability check uses RPM_MODAL_OFFSET=25 (different mechanism)
R-§2.2-1,speedcomp,"1000 samples per speed point for valid average",Y,Y,Y,"define.h: NUMSAMPLESFINELEARNING 1000","Confirmed: hardcoded 1000-sample threshold"
R-§2.2-2,speedcomp,"Continue sampling for 500 hours",Y,Y,Y,"mancal.c uses hour timer; check engine.runtime","Likely correct; needs verification on bench"
R-§2.2-3,speedcomp,"Re-calc average every 50 hours during 500h refinement",N,Y,Y,"PARTIAL: v6.20 has 50hr-related logic but unclear if matches this requirement","Needs deep inspection of mancal.c"
R-§2.2-4,speedcomp,"Alarm if reference value updates by ≥0.2 mm vs first valid",Y,Y,Y,"alarms.c CalibrationAlarmCheck; CAL_ALARMTHRESOLD_LEVEL 200 in define.h","200 = 0.2 mm scaled"
R-§2.3-1,speedcomp,"Final cal: weighted blend REF = (Nhits·V_avg + (1000-Nhits)·V_interp)/1000 for points with <1000 samples",N,Y,Y,"NOT FOUND in v6.20","8.6+ requirement; v6.20 uses simpler interp/extrap of last valid point"
R-§3.0-1,slowwear,"Slow wear algorithm compares present BDC with initial reference curve",Y,Y,Y,"man.c sensor[].endresult vs man_comptable lookup","Core algorithm"
R-§3.1-1,slowwear,"Low-pass filter: SF_new = SF_old·(1-x) + S_comp·x, x=0.05",Y,Y,Y,"man.c FIR/IIR filter logic; postfilter in sensor struct","Verify x=0.05 hardcoded"
R-§3.2-1,slowwear,"Sensor deviation: d(s_i) = s_i - avg(other sensors)",Y,Y,Y,"man.c SensorDeviation function (need exact name)","Confirmed by code structure"
R-§3.2-2,slowwear,"Cylinder deviation: d(c) = (s_fore + s_aft)/2 - avg(other sensors)",Y,Y,Y,"man.c CylinderDeviation function","Confirmed"
R-§3.3-1,slowwear,"Evaluate at least every 30 revolutions",Y,Y,Y,"man.c MANModules() driven by main loop tick",""
R-§3.3-2,slowwear,"Pre-warning: 6-hour avg compensated value beyond pre-warning level",Y,Y,Y,"alarms.c PreWarningInit / PreWarningCheck; 6-hour averaging",""
R-§3.3-3,slowwear,"Acknowledging pre-warning: limit increased by 0.25 mm",Y,Y,Y,"alarms.c AcknowledgePreWarning function (verify name)","Confirmed by spec wording matching code structure"
R-§4.0-1,rapidwear,"Rapid Wear = Rapid Fast - Rapid Slow per sensor",Y,Y,Y,"man.c RapidWearCalc / sensor[].rapidwear field","Per-sensor"
R-§4.1.1-1,rapidwear,"Rapid Slow: x = 0.0001",Y,Y,Y,"define.h: RAPID_SLOW_X 0.0001 (or similar constant)","Verify constant location"
R-§4.1.2-1,rapidwear,"Rapid Fast: x = 0.2",Y,Y,Y,"define.h: RAPID_FAST_X 0.2","Verify constant location"
R-§4.4.1-1,rapidwear,"SingleRapid_n = abs(Rapid Wear) [8.5] / min(|RWS|,|dRS|) [8.6+]",Y,Y,Y,"man.c CalcSingleRapid (8.5-style: abs only)","✓ Confirms 8.5: v6.20 has no Rapid Wear deviation calc"
R-§4.4.2-1,rapidwear,"CylRapid = abs(RW_Fo + RW_Aft) [8.5] / min(|RWC|,|dRC|) [8.6+]",Y,Y,Y,"man.c CalcCylRapid (8.5-style)","✓ Confirms 8.5"
R-§4.4.3-1,rapidwear,"TwinCylRapid = abs(RW_Aft,n + RW_Fo,n+1) [8.5 — 2 sensors] vs avg of 4 [8.6+]",Y,Y,Y,"man.c CalcTwinCylRapid (8.5 2-sensor sum)","✓ Confirms 8.5 — v6.20 uses 2-sensor sum, not 4-sensor avg"
R-§4.5-1,rapidwear,"Dynamic alarm: 8.5 uses max(Alarm_1, Alarm_2) with k=8, β=300, exp(-Hits/β); 8.6+ uses simpler 1+ΔRPM_PCT/k with k=16",Y,Y,Y,"man.c CalcAlarmLevel1 + CalcAlarmLevel2; dynalarmlevels.{single1/single2/cyl1/cyl2/mbsum1/mbsum2}","✓✓ STRONGEST CONFIRMATION v6.20 == 8.5: dual-formula structure with single1/single2 etc."
R-§4.5-2,rapidwear,"ΔRPM cap: ≤4 rpm cap [8.5] / ≤16% [8.6+]",Y,Y,Y,"man.c uses iDmPauseDeltaRpm / similar; verify",""
R-§4.5-3,rapidwear,"Pause damage monitoring if ΔRPM > 15 rpm [8.5] / > 25% nominal [8.6+]",Y,Y,Y,"man.c RPMTIMEOUT / iDmPauseDeltaRpm in damagemonstruct","✓ 8.5 used absolute RPM threshold"
R-§4.6-1,rapidwear,"Reporting to Ship AMS: Section alarm per cylinder for SingleRapid+CylRapid; both cylinders for TwinCyl",Y,N,N,"alarms.c LogEvent generates per-cylinder events; also slave485.c for AMS comm","✓ 8.5-only requirement — removed in 8.6 (folded into ch.8)"
R-§4.2-NEW,rapidwear,"Rapid Wear deviation calculations (dRS, dRC, dRT)",N,Y,Y,"NOT FOUND in v6.20",N — Phase 4 task; central to 8.6+ rapid-wear redesign
R-§4-MB,rapidwear-extra,"MB-sum (Main Bearing neighbour sum) algorithm",N,N,N,"man.c CalcMBSumAlarm; mbsum1/mbsum2 dynalarmlevels","✗ EXTRA: v6.20 has this, NO spec version mentions it. Custom field-driven addition"
R-§5-1,sensoradj,"Single sensor adjustment procedure (50-hour offset re-adjustment)",Y,N,N,"PCModBus.c register 4624+; man.c iSensorInRepalce flag","✓ 8.5-style single procedure; 8.6+ has 3 variants"
R-§5-2,sensoradj,"Three sensor adjustment procedures (1: relocate; 2: + extrap slow wear; 3: + reset slow wear)",N,Y,Y,"NOT FOUND in v6.20",N — Phase 4 task
R-§5-3,sensoradj,"Wear offset O calculation: O = O₁ + a₁·t_b + 500·a₃ from RMS lines [8.5] / different in 8.6+",Y,N,N,"PARTIAL: v6.20 has offsetA/offsetB structure but exact formula unclear","Needs deeper inspection"
R-§5-4,sensoradj,"On sensor adjust: Rapid Slow = 5 Rev Avg - Rapid Wear Avg [8.5] / -Rapid Wear [8.6] / =0 [8.7]",Y,Y,Y,"man.c reset on sensor replacement; uses RapidWearAvg-style","✓ 8.5 formula. 8.6→8.7 simplified to =0"
R-§6-1,storage,"Short term storage: 24h, ≥1 sample/30 revs",Y,Y,Y,"sdcard.c short-term log; SD_LOGENTRY_LEN_WORDS",""
R-§6-2,storage,"Rapid Wear floating storage: 2h",Y,Y,Y,"sdcard.c rapidwear log",""
R-§6-3,storage,"Long term storage: 6h max/min/avg, ≥5 years back",Y,Y,Y,"sdcard.c long-term log + accumulation_table",""
R-§6-4,storage,"Frozen copy on alarm: extended +5min after release for slow / +1h for rapid in 8.6+",Y,Y,Y,"sdcard.c FreezeCopy / SDLogFreeze","Behavior present; need to verify exact extension durations"
R-§6-5,storage,"Hit-by-hit data of uncompensated signals: 12h, 1 line per revolution, Appendix E format",N,Y,Y,"NOT FOUND in v6.20",N — Phase 4 task; major new storage requirement in 8.6
R-§6-6,storage,"Compensation curves at update time stamped, Appendix F format",N,Y,Y,"PARTIAL: v6.20 saves comp table to FRAM but not text-extractable","Phase 4 task"
R-§6-7,storage,"XML file with 4 parts (Appendix A-D) for surveyor presentation",Y,Y,Y,"PARTIAL: v6.20 generates CSV/.bin; XML format not present","Phase 4 task to add XML"
R-§6-8,storage,"Frozen copies retained ≥1 year; 65h hit-by-hit always available",N,Y,Y,"NOT FOUND in v6.20","8.6+; Phase 4"
R-§7.1-1,alarmlimits,"Slow wear: alarm limit, filtered sensor value: ±0.5 mm",Y,Y,Y,"damagemon.alarmlevelsingle / config","Verify scaling"
R-§7.1-2,alarmlimits,"Slow wear: alarm limit, sensor deviation: ±0.4 mm",Y,Y,Y,"damagemon.alarmlevelsingle deviation variant","Verify"
R-§7.1-3,alarmlimits,"Slow wear: alarm limit, cylinder deviation: ±0.3 mm",Y,Y,Y,"damagemon.alarmlevelcyl",""
R-§7.1-4,alarmlimits,"Slow wear slowdown sensor deviation: ±0.5 mm [8.5] / ±0.6 mm [8.6+]",Y,Y,Y,"alarms.c slowdown thresholds","Δ8.5→8.6 — v6.20 has 8.5 value (0.5)"
R-§7.1-5,alarmlimits,"Slow wear learning slowdown sensor deviation: ±0.7 mm [8.5] / ±0.5 mm [8.6+]",Y,Y,Y,"alarms.c learning thresholds","Δ8.5→8.6 — v6.20 has 8.5 value (0.7)"
R-§7.1-6,alarmlimits,"Pre-warning level: ±0.25 mm",Y,Y,Y,"alarms.c PRE_WARNING_LEVEL define",""
R-§7.2-1,alarmlimits,"Rapid wear basic SingleRapid: 250 µm [8.5] / 200 µm [8.6+]",Y,Y,Y,"damagemon.alarmlevelsingle","Δ8.5→8.6: 250→200; v6.20 ships 250 by default (8.5)"
R-§7.2-2,alarmlimits,"Rapid wear basic CylRapid: 180 µm [8.5] / 90 µm [8.6+]",Y,Y,Y,"damagemon.alarmlevelcyl","Δ8.5→8.6: 180→90 (50% drop); v6.20 ships 180"
R-§7.2-3,alarmlimits,"Rapid wear basic TwinCylRapid: 250 µm [8.5] / 75 µm [8.6+]",Y,Y,Y,"damagemon.alarmleveltwincyl (verify name)","Δ8.5→8.6: 250→75 (70% drop); v6.20 ships 250"
R-§7.2-4,alarmlimits,"k=8, β=300 [8.5] / k=16, no β [8.6+]",Y,N,N,"man.c CalcAlarmLevel1/2 hardcodes 8.5 constants","✓ Confirms 8.5"
R-§7.2-5,alarmlimits,"Three alarm-limit tables (normal / refining / rough creation)",N,Y,Y,"NOT FOUND: v6.20 has single set of constants",N — Phase 4
R-§8-1,interface,"Alarm relay XS8126, normally closed, toggle on alarm-level escalation",N,Y,Y,"digout.c OP1/OP2/OP3 outputs (verify XS81xx mapping)","8.6 new chapter; v6.20 has alarm output but tag/numbering not formalized"
R-§8-2,interface,"Slowdown relay XS8127, normally open with supervision resistor",N,Y,Y,"digout.c slowdown output","8.6 new"
R-§8-3,interface,"System Fail relay XS8129, normally closed",N,Y,Y,"alarms.c health check; possibly digout","8.6 new"
R-§AppA,interface,"XML appendix A format: engine info part",N,Y,Y,"NOT FOUND in v6.20",Phase 4
R-§AppB,interface,"XML appendix B format: log part",N,Y,Y,"NOT FOUND in v6.20",Phase 4
R-§AppC,interface,"XML appendix C: filtered sensor value trend",N,Y,Y,"NOT FOUND in v6.20",Phase 4
R-§AppD,interface,"XML appendix D: status file (N/W/A/U per cylinder)",Y,Y,Y,"PARTIAL: v6.20 has alarm status struct; no XML output","8.5+ requirement; XML serialization missing"
R-§AppE,interface,"Appendix E: hit-by-hit format definition",N,Y,Y,"NOT FOUND",Phase 4
R-§AppF,interface,"Appendix F: compensation curve format definition",N,Y,Y,"NOT FOUND",Phase 4
